 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
110.0 	 50.0 	 -300.0     	   -300.0     	    -150.5617
110.0 	 60.0 	 -300.0     	   -300.0     	    -150.5617
110.0 	 70.0 	 -300.0     	   -300.0     	    -150.5618
110.0 	 80.0 	 -300.0     	   -300.0     	    -150.5618
110.0 	 90.0 	 -300.0     	   -300.0     	    -150.5618
110.0 	 100.0 	 -300.0     	   -300.0     	    -150.5618
110.0 	 110.0 	 -300.0     	   -300.0     	    -150.5617
110.0 	 120.0 	 -300.0     	   -300.0     	    -150.5617
110.0 	 130.0 	 -300.0     	   -300.0     	    -150.5617
110.0 	 140.0 	 -300.0     	   -300.0     	    -150.5616
110.0 	 150.0 	 -300.0     	   -300.0     	    -150.5616
110.0 	 160.0 	 -300.0     	   -300.0     	    -150.5615
110.0 	 170.0 	 -300.0     	   -300.0     	    -150.5615
110.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
110.0 	 190.0 	 -300.0     	   -300.0     	    -150.5613
110.0 	 200.0 	 -300.0     	   -300.0     	    -150.5613
110.0 	 210.0 	 -300.0     	   -300.0     	    -150.5612
110.0 	 220.0 	 -300.0     	   -300.0     	    -150.5612
110.0 	 230.0 	 -300.0     	   -300.0     	    -150.5611
110.0 	 240.0 	 -300.0     	   -300.0     	    -150.5611
110.0 	 250.0 	 -300.0     	   -300.0     	    -150.5611
